fold,test_accuracy,test_precision,test_recall,test_f1
1,0.9975,0.9975308641975309,0.9975,0.9974999023399351
2,0.995,0.9950617283950618,0.995,0.9949838823806902
3,0.985,0.9851773640391527,0.985,0.9849809298161554
4,0.99,0.9900284900284901,0.99,0.9899677647613805
5,0.985,0.9849952516619183,0.985,0.984951647142071
