fold,test_accuracy,test_precision,test_recall,test_f1
1,0.7800925925925926,0.7752632048882269,0.7800925925925926,0.7758675392327256
2,0.8495370370370371,0.879318305283497,0.8495370370370371,0.8448360062787046
3,0.8240740740740741,0.844048451451854,0.8240740740740741,0.8258908203754766
4,0.8379629629629629,0.8604193676980619,0.8379629629629629,0.8360412508414462
5,0.8259860788863109,0.8561314772045702,0.8259860788863109,0.8230340709192908
