fold,test_accuracy,test_precision,test_recall,test_f1
1,0.9975,0.9975308641975309,0.9975,0.9974999023399351
2,0.995,0.9951219512195122,0.995,0.9949992186279107
3,0.99,0.9904761904761905,0.99,0.9899937460913071
4,0.9925,0.9926528154170431,0.9925,0.9924669721217307
5,0.9875,0.9878787878787879,0.9875,0.9874946628326998
