fold,test_accuracy,test_precision,test_recall,test_f1
1,1.0,1.0,1.0,1.0
2,0.9875,0.98776404318573,0.9875,0.9874956039232542
3,0.985,0.9855981416957027,0.985,0.9849433408785971
4,0.985,0.985260731033295,0.985,0.9849304869576941
5,0.9875,0.9880070546737214,0.9875,0.9874281022914417
