fold,test_accuracy,test_precision,test_recall,test_f1
1,1.0,1.0,1.0,1.0
2,0.9875,0.98776404318573,0.9875,0.9874956039232542
3,0.9875,0.9880070546737214,0.9875,0.9874281022914417
4,0.995,0.9950308641975308,0.995,0.9949999023399352
5,0.99,0.9901188242651656,0.99,0.9899984372558213
